blockchain,mode,workload,cores,ram,secondaries,dataset,link_strategy,network_size,dynamic,metric,unit,value_column,eligibility_column,n_observed,n_positive_commit,n_zero_commit,n_no_submission,n_tps_censored,n_metric,mean,minimum,maximum,q25,q75,sample_std,iqr,iqr_pct,sample_std_pct,delta_min,delta_max,delta_min_pct,delta_max_pct,range_abs,wcd_abs,wcd_pct
Algorand,fat-tree,DDoS,8,16,10,2023,hop,10 nodes,0,tps_positive_commit,TPS,average_throughput,tps_point_valid_positive_commit,13,13,0,0,0,13,676.8461538461538,573.5,744.5,656.8,720.6,56.58778748376449,63.80000000000007,9.426071144448244,8.360509572553,-103.34615384615381,67.65384615384619,-15.268780543243546,9.995454028866922,171.0,103.34615384615381,15.268780543243546
Algorand,fat-tree,DDoS,8,16,10,2023,hop,10 nodes,0,latency_positive_commit,s,average_latency,latency_valid_positive_commit,13,13,0,0,0,13,33.76923076923077,27.55,43.02,30.71,36.89,4.397909468407427,6.18,18.30068337129841,13.023422116012881,-6.219230769230766,9.250769230769237,-18.416856492027325,27.394077448747172,15.470000000000002,9.250769230769237,27.394077448747172
Algorand,fat-tree,DDoS,8,16,10,2023,hop,10 nodes,0,energy_observed,kWh,energy,energy_valid_observed,13,13,0,0,0,13,10.461212611607298,7.6499334830091055,13.43470322574238,9.747106958076856,11.300143399971496,1.717926888349791,1.5530364418946405,14.84566368693683,16.42187146109291,-2.8112791285981924,2.9734906141350823,-26.873358117957775,28.42395737981493,5.784769742733275,2.9734906141350823,28.42395737981493
Algorand,fat-tree,DDoS,8,16,10,2023,hop,10 nodes,0,energy_positive_commit,kWh,energy,energy_valid_positive_commit,13,13,0,0,0,13,10.461212611607298,7.6499334830091055,13.43470322574238,9.747106958076856,11.300143399971496,1.717926888349791,1.5530364418946405,14.84566368693683,16.42187146109291,-2.8112791285981924,2.9734906141350823,-26.873358117957775,28.42395737981493,5.784769742733275,2.9734906141350823,28.42395737981493
Algorand,fat-tree,DDoS,8,16,10,2023,hop,40 nodes,0,tps_positive_commit,TPS,average_throughput,tps_point_valid_positive_commit,13,13,0,0,0,13,405.3538461538462,263.2,533.9,374.6,440.1,78.62339150855611,65.5,16.158721724609077,19.396236708881688,-142.1538461538462,128.5461538461538,-35.06907545164719,31.712084408683754,270.7,142.1538461538462,35.06907545164719
Algorand,fat-tree,DDoS,8,16,10,2023,hop,40 nodes,0,latency_positive_commit,s,average_latency,latency_valid_positive_commit,13,13,0,0,0,13,45.92076923076923,38.29,64.25,39.54,47.7,9.265396610991585,8.160000000000004,17.769737172722255,20.176919433621556,-7.630769230769232,18.32923076923077,-16.61725044809622,39.914903596495634,25.96,18.32923076923077,39.914903596495634
Algorand,fat-tree,DDoS,8,16,10,2023,hop,40 nodes,0,energy_observed,kWh,energy,energy_valid_observed,13,13,0,0,0,13,10.247893016120063,7.661634293886509,12.794049733736278,8.54786437870797,11.393011557383868,1.6186331616274048,2.845147178675898,27.763240445625712,15.79478980782952,-2.586258722233554,2.546156717616215,-25.236980110597727,24.84566060175569,5.132415439849769,2.586258722233554,25.236980110597727
Algorand,fat-tree,DDoS,8,16,10,2023,hop,40 nodes,0,energy_positive_commit,kWh,energy,energy_valid_positive_commit,13,13,0,0,0,13,10.247893016120063,7.661634293886509,12.794049733736278,8.54786437870797,11.393011557383868,1.6186331616274048,2.845147178675898,27.763240445625712,15.79478980782952,-2.586258722233554,2.546156717616215,-25.236980110597727,24.84566060175569,5.132415439849769,2.586258722233554,25.236980110597727
Algorand,fat-tree,FIFA,8,16,10,2023,hop,10 nodes,0,tps_positive_commit,TPS,average_throughput,tps_point_valid_positive_commit,16,16,0,0,0,16,96.83749999999999,0.5,277.4,20.8,177.575,96.10470592015773,156.77499999999998,161.89492706854267,99.24327447544364,-96.33749999999999,180.5625,-99.48367109848975,186.4592745578934,276.9,180.5625,186.4592745578934
Algorand,fat-tree,FIFA,8,16,10,2023,hop,10 nodes,0,latency_positive_commit,s,average_latency,latency_valid_positive_commit,16,16,0,0,0,16,42.4525,16.53,65.24,21.84,63.1925,21.096065825962274,41.352500000000006,97.40886873564574,49.69334156047883,-25.9225,22.787499999999994,-61.06236381838525,53.67763971497555,48.709999999999994,25.9225,61.06236381838525
Algorand,fat-tree,FIFA,8,16,10,2023,hop,10 nodes,0,energy_observed,kWh,energy,energy_valid_observed,16,16,0,0,0,16,9.461664357171225,6.80822369510856,12.23405046833244,8.244293700607113,10.462203474352387,1.4657766736893738,2.2179097737452746,23.441010904854885,15.491742449925589,-2.653440662062665,2.7723861111612145,-28.044121646014194,29.301251941577863,5.425826773223879,2.7723861111612145,29.301251941577863
Algorand,fat-tree,FIFA,8,16,10,2023,hop,10 nodes,0,energy_positive_commit,kWh,energy,energy_valid_positive_commit,16,16,0,0,0,16,9.461664357171225,6.80822369510856,12.23405046833244,8.244293700607113,10.462203474352387,1.4657766736893738,2.2179097737452746,23.441010904854885,15.491742449925589,-2.653440662062665,2.7723861111612145,-28.044121646014194,29.301251941577863,5.425826773223879,2.7723861111612145,29.301251941577863
Algorand,fat-tree,FIFA,8,16,10,2023,hop,40 nodes,0,tps_positive_commit,TPS,average_throughput,tps_point_valid_positive_commit,13,13,0,0,0,13,50.815384615384616,6.0,107.8,27.5,69.8,30.997334459429627,42.3,83.2425068119891,60.99990129769681,-44.815384615384616,56.98461538461538,-88.19255222524978,112.1404783530124,101.8,56.98461538461538,112.1404783530124
Algorand,fat-tree,FIFA,8,16,10,2023,hop,40 nodes,0,latency_positive_commit,s,average_latency,latency_valid_positive_commit,13,13,0,0,0,13,80.81923076923077,53.1,140.79,67.98,87.48,24.632659709397487,19.5,24.127920810926568,30.478710914402257,-27.71923076923077,59.97076923076922,-34.29781563793842,74.20358825488981,87.69,59.97076923076922,74.20358825488981
Algorand,fat-tree,FIFA,8,16,10,2023,hop,40 nodes,0,energy_observed,kWh,energy,energy_valid_observed,13,13,0,0,0,13,9.26688488953087,6.616071011809668,10.984090047342123,8.421208261663528,10.796398196075994,1.547172481688047,2.3751899344124663,25.630942465852826,16.695712746318268,-2.650813877721202,1.7172051578112537,-28.605231524089838,18.530554531342474,4.3680190355324555,2.650813877721202,28.605231524089838
Algorand,fat-tree,FIFA,8,16,10,2023,hop,40 nodes,0,energy_positive_commit,kWh,energy,energy_valid_positive_commit,13,13,0,0,0,13,9.26688488953087,6.616071011809668,10.984090047342123,8.421208261663528,10.796398196075994,1.547172481688047,2.3751899344124663,25.630942465852826,16.695712746318268,-2.650813877721202,1.7172051578112537,-28.605231524089838,18.530554531342474,4.3680190355324555,2.650813877721202,28.605231524089838
Algorand,fat-tree,GAFAM,8,16,10,2023,hop,10 nodes,0,tps_positive_commit,TPS,average_throughput,tps_point_valid_positive_commit,13,13,0,0,0,13,124.02307692307694,59.9,158.2,117.6,148.9,30.625783087842663,31.30000000000001,25.23723872728401,24.69361658140263,-64.12307692307695,34.176923076923046,-51.702536748744045,27.556906282949793,98.29999999999998,64.12307692307695,51.702536748744045
